obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
1237660000000000,134.8344427850505,-56.67607280904846,17.61705683735906,21.72702994208898,20.719958782835928,18.936355202774422,21.482569540778222,1730,301,1,710,6543210000000000,GALAXY,0.5922112011916276,13852,57580,570
1237660000000001,342.2571503075698,7.542170528104464,17.469787990719997,22.966813971913723,23.05432329299986,19.734356593750213,16.723863621051663,5890,301,3,299,6543210000000001,QSO,1.726560650898372,2620,58508,661
1237660000000002,263.51781905210584,67.1302504577535,24.062545805210366,17.50467898792499,22.60160929790159,23.545473932021803,23.723945633548148,2648,301,3,757,6543210000000002,STAR,2.775793924970893,14584,55264,405
1237660000000003,215.5170543109332,41.800479553721004,17.49546199849506,21.24874099606999,16.538999046937736,18.40004386059892,21.131162390692417,5228,301,5,850,6543210000000003,GALAXY,0.44068970663333773,12693,57518,449
1237660000000004,56.16671055927715,55.18100661506094,17.71949726128631,20.717459831437488,16.492494697414738,23.69649684812171,16.572038835569543,3130,301,4,620,6543210000000004,GALAXY,2.9125625936031008,12111,58122,131
1237660000000005,56.158027321032954,28.58100600792912,22.593982624179638,23.32830376788271,17.681743677449134,15.881344309766915,24.623380574812067,5366,301,1,453,6543210000000005,GALAXY,2.8424317031868735,5308,51178,69
1237660000000006,20.910100380551807,34.60978161321344,19.4973984245054,24.060870604812607,18.61074726341037,22.767984372086307,20.183654633353207,2506,301,3,393,6543210000000006,GALAXY,2.653715961174788,1948,53855,345
1237660000000007,311.82341247897665,62.85521728175746,22.767105569551813,15.121567714773867,19.084555814084826,23.475476330547366,15.72898451871655,3158,301,5,212,6543210000000007,STAR,0.6436695639900067,4944,58523,762
1237660000000008,216.40140422755516,-45.05975840534653,15.653661575643852,21.740199190587926,21.796972168333454,16.81817652837339,21.268329044150672,3916,301,1,668,6543210000000008,GALAXY,1.9021651680329499,10319,56037,320
1237660000000009,254.90612800657638,-1.903506544234716,19.875711936733843,15.51835799119729,15.566804321658354,19.303465323722005,17.531989070128102,4229,301,4,538,6543210000000009,QSO,2.2826744188837207,1191,50527,177
